RK2_Ek	RK2_Ep	RK2_Et	RK4_Ek	RK4_Ep	RK4_Et
68,17	57,20	125,37	69,48	54,54	124,01
79,89	45,33	125,23	81,00	42,79	123,79
91,41	33,70	125,10	92,19	31,38	123,57
102,12	22,89	125,00	102,46	20,91	123,37
111,39	13,54	124,94	111,20	12,01	123,20
118,61	6,29	124,90	117,81	5,26	123,07
123,23	1,66	124,89	121,83	1,16	122,99
124,90	0,00	124,90	122,94	0,03	122,96
123,48	1,46	124,94	121,06	1,94	123,00
119,08	5,92	125,00	116,33	6,76	123,09
112,04	13,03	125,07	109,11	14,12	123,22
102,88	22,28	125,16	99,91	23,49	123,40
92,22	33,04	125,27	89,34	34,26	123,61
80,72	44,67	125,39	78,01	45,81	123,83
68,96	56,56	125,52	66,49	57,56	124,05
57,46	68,20	125,66	55,25	69,02	124,27
46,61	79,19	125,80	44,67	79,81	124,48
36,69	89,26	125,95	35,02	89,65	124,67
27,88	98,20	126,08	26,46	98,38	124,83
20,27	105,93	126,20	19,08	105,90	124,98
13,90	112,41	126,31	12,93	112,17	125,10
8,77	117,64	126,40	8,00	117,19	125,19
4,84	121,64	126,48	4,28	120,99	125,27
2,09	124,44	126,53	1,72	123,59	125,32
0,48	126,07	126,56	0,31	125,03	125,34
0,00	126,56	126,57	0,04	125,31	125,35
0,64	125,91	126,55	0,89	124,45	125,33
2,40	124,11	126,52	2,87	122,42	125,29
5,32	121,15	126,46	6,02	119,21	125,23
9,41	116,98	126,39	10,35	114,80	125,15
14,70	111,58	126,29	15,90	109,15	125,04
21,23	104,94	126,17	22,67	102,24	124,91
28,99	97,04	126,03	30,65	94,11	124,76
37,94	87,94	125,89	39,78	84,80	124,58
47,98	77,75	125,73	49,93	74,45	124,39
58,91	66,66	125,57	60,89	63,29	124,18
70,44	54,98	125,42	72,33	51,63	123,96
82,17	43,11	125,28	83,82	39,92	123,73
93,58	31,58	125,16	94,84	28,68	123,52
104,08	20,99	125,07	104,79	18,54	123,33
113,01	11,99	125,00	113,05	10,12	123,17
119,78	5,20	124,97	119,06	3,98	123,05
123,86	1,10	124,97	122,38	0,60	122,98
